u,126
will,63
im,60
get,59
now,55
go,54
can,47
like,46
time,45
just,44
ok,38
ur,37
dont,35
call,34
think,33
love,33
see,33
good,33
come,33
home,31
want,31
ltgt,29
got,28
need,27
know,27
ill,27
back,27
still,26
take,26
make,26
say,26
day,25
didnt,24
one,24
sorri,23
today,21
way,21
tell,21
happi,21
work,21
n,21
thing,20
night,20
thank,20
da,19
later,19
oh,19
phone,19
meet,19
great,19
alreadi,18
smile,18
lor,18
leav,18
talk,17
tri,17
sure,17
give,16
said,16
send,16
buy,16
pl,16
place,16
realli,16
sleep,16
well,16
care,16
hey,16
ask,16
guy,16
k,15
that,15
never,15
us,15
last,15
hi,15
ive,14
feel,14
morn,14
someth,14
friend,13
gonna,13
pay,13
amp,13
dear,13
keep,13
late,13
hope,13
pick,13
tomorrow,13
watch,13
wat,13
b,12
person,12
lol,12
much,12
mani,12
right,12
tonight,11
best,11
look,11
e,11
finish,11
new,11
reach,11
cant,11
yeah,11
month,11
shit,11
car,11
life,11
actual,11
th,11
around,10
stuff,10
check,10
nice,10
he,10
minut,10
thk,10
d,10
bring,10
r,10
wish,10
soon,9
fine,9
someon,9
co,9
lunch,9
went,9
miss,9
use,9
end,9
text,9
week,9
wait,9
anyway,9
ya,9
c,9
haf,9
wan,9
hous,9
lar,8
wif,8
first,8
havent,8
noth,8
happen,8
tv,8
messag,8
pleas,8
ye,8
caus,8
wont,8
chang,8
fuck,8
quit,8
msg,8
told,8
sent,8
help,8
guess,8
id,8
anyth,8
let,8
snow,8
behind,8
enough,7
sweet,7
alway,7
find,7
show,7
felt,7
bit,7
may,7
friendship,7
dude,7
tomo,7
number,7
cool,7
problem,7
rememb,7
peopl,7
detail,7
man,7
darren,7
year,7
stop,7
world,7
walk,7
hour,7
shall,7
heart,7
post,7
enuff,7
space,7
mb,7
forget,6
thought,6
v,6
song,6
food,6
class,6
hello,6
haha,6
ju,6
readi,6
worri,6
sister,6
alright,6
even,6
god,6
money,6
account,6
charg,6
also,6
enjoy,6
your,6
start,6
mind,6
doesnt,6
smoke,6
y,6
hear,6
sir,6
wonder,6
coz,6
drive,6
repli,6
lot,6
decid,6
probabl,6
dad,6
simpl,6
wasnt,6
knew,6
babi,6
live,5
press,5
yesterday,5
hurt,5
plan,5
pa,5
bday,5
special,5
school,5
directli,5
point,5
leh,5
win,5
lose,5
brother,5
mean,5
mayb,5
book,5
return,5
join,5
ah,5
wanna,5
head,5
differ,5
ard,5
xma,5
sch,5
gud,5
yup,5
laugh,5
word,5
figur,5
away,5
stori,5
play,5
near,5
frm,5
min,5
fall,5
hand,5
littl,5
wot,5
liao,5
touch,5
difficult,5
earli,5
lei,5
omg,5
hard,5
kind,5
mum,5
els,5
shop,5
ga,5
game,5
murder,5
open,5
drunk,5
motherfuck,5
saw,5
joke,4
mell,4
callertun,4
date,4
sinc,4
room,4
wun,4
cut,4
short,4
dedic,4
frnd,4
troubl,4
afternoon,4
dun,4
invit,4
what,4
boy,4
fix,4
might,4
ex,4
usual,4
stay,4
better,4
meant,4
remov,4
water,4
pretti,4
bare,4
prob,4
free,4
ho,4
next,4
famili,4
sometim,4
listen,4
twice,4
bag,4
speak,4
two,4
consid,4
wall,4
import,4
peac,4
high,4
matter,4
castor,4
abt,4
style,4
kiss,4
believ,4
tho,4
forgot,4
luv,4
paper,4
girl,4
read,4
put,4
angri,4
idea,4
fight,4
beauti,4
glad,4
wine,4
how,4
yep,4
excus,4
huh,4
truth,4
train,4
dinner,4
sort,4
aight,4
she,4
random,4
must,4
isnt,4
den,4
hop,4
piss,4
empti,4
without,4
dream,4
final,4
though,3
per,3
set,3
copi,3
seem,3
rpli,3
enter,3
askd,3
apart,3
uncl,3
inform,3
question,3
name,3
spend,3
awesom,3
bath,3
cours,3
appreci,3
wake,3
ring,3
yet,3
download,3
anoth,3
chanc,3
met,3
fun,3
compani,3
bank,3
dollar,3
long,3
half,3
card,3
tat,3
campu,3
merri,3
tirupur,3
mrng,3
drink,3
longer,3
email,3
big,3
belli,3
xy,3
lesson,3
dunno,3
run,3
sat,3
x,3
diff,3
appt,3
there,3
road,3
txt,3
mate,3
success,3
past,3
abl,3
ahead,3
bunker,3
store,3
youll,3
town,3
heard,3
sea,3
goodmorn,3
ltdecimalgt,3
aft,3
dat,3
who,3
vijay,3
studi,3
sura,3
hr,3
chennai,3
treat,3
write,3
mode,3
wen,3
wid,3
mine,3
collect,3
surpris,3
lead,3
yiju,3
regard,3
nd,3
jontin,3
alex,3
station,3
tonit,3
scream,3
almost,3
thinkin,3
di,3
ugh,3
xx,3
goin,3
babe,3
bed,3
bloke,3
leg,3
pix,3
blanket,3
parent,3
jazz,3
s,3
job,3
de,3
vl,3
thanx,3
took,3
oki,3
part,3
eat,3
wifehow,3
exactli,3
sound,3
cash,3
left,3
least,3
hotel,3
howard,3
pub,3
slowli,3
naughti,3
wil,3
stone,3
doin,3
togeth,3
hit,3
expect,3
friendofafriend,3
internet,3
row,3
bad,3
mentor,3
percent,3
bottl,3
amus,3
request,2
oru,2
minnaminungint,2
nurungu,2
vettam,2
caller,2
anymor,2
cri,2
sunday,2
wow,2
embarass,2
offer,2
hair,2
valuabl,2
pleasur,2
pain,2
rain,2
loud,2
cabin,2
boss,2
hmmmi,2
address,2
answer,2
interview,2
mear,2
excit,2
si,2
nite,2
yesher,2
avail,2
theori,2
argument,2
situat,2
lover,2
flash,2
sunni,2
blue,2
accident,2
delet,2
hang,2
accept,2
small,2
callingforgot,2
onam,2
sirjii,2
insur,2
personmeet,2
qatar,2
insha,2
allahrakhesh,2
tata,2
aig,2
tisscotays,2
z,2
quickli,2
system,2
administr,2
network,2
aha,2
fifteen,2
tough,2
improv,2
reason,2
flat,2
trust,2
credit,2
sno,2
competit,2
christma,2
ladi,2
jay,2
geeeee,2
nope,2
daddi,2
somethin,2
teacher,2
face,2
unless,2
drivin,2
g,2
everyon,2
sell,2
princess,2
pic,2
monday,2
full,2
gist,2
spell,2
complet,2
ago,2
lttimegt,2
fault,2
gift,2
hint,2
borrow,2
hav,2
age,2
rent,2
inconsider,2
nag,2
cost,2
howev,2
recess,2
henc,2
askin,2
pass,2
pray,2
order,2
lotta,2
white,2
colleg,2
theyr,2
safe,2
bowl,2
across,2
throw,2
librari,2
tel,2
aiyah,2
fri,2
orchard,2
swing,2
understand,2
true,2
easier,2
receiv,2
project,2
tmr,2
rite,2
birthday,2
skype,2
serious,2
design,2
softwar,2
develop,2
sup,2
mrt,2
dictionari,2
cover,2
screen,2
gentli,2
interest,2
lovabl,2
bcum,2
tht,2
fli,2
onlin,2
mail,2
either,2
close,2
aah,2
lucki,2
noon,2
convert,2
googl,2
search,2
kalainar,2
officethenampet,2
confirm,2
chequ,2
nte,2
neva,2
cramp,2
hai,2
o,2
turn,2
earlier,2
joy,2
father,2
john,2
facebook,2
rd,2
natur,2
sm,2
st,2
damn,2
parti,2
nichol,2
gym,2
lazi,2
jog,2
howz,2
noe,2
slow,2
valentin,2
graviti,2
light,2
heavi,2
darlin,2
pete,2
lie,2
bu,2
soooo,2
provid,2
tming,2
imagin,2
youv,2
yar,2
vikki,2
stayin,2
strangersaw,2
dave,2
nowstil,2
gona,2
mrur,2
getha,2
decis,2
kill,2
includ,2
jess,2
thatll,2
gr,2
ahmad,2
easiest,2
barcelona,2
ru,2
hiya,2
came,2
dock,2
boat,2
roll,2
newscast,2
dabbl,2
flute,2
wheel,2
learn,2
issu,2
door,2
bugi,2
foreign,2
stamp,2
whatev,2
whatsup,2
custom,2
exhaust,2
grin,2
sad,2
wife,2
colleagu,2
januari,2
twenti,2
five,2
dress,2
aftr,2
clean,2
sit,2
magic,2
happend,2
abi,2
lingo,2
earth,2
yo,2
woke,2
window,2
semest,2
block,2
armenia,2
swann,2
move,2
cud,2
ever,2
basic,2
wouldnt,2
sun,2
cine,2
hip,2
eye,2
jaya,2
fact,2
drop,2
found,2
juz,2
alon,2
ticket,2
yr,2
ha,2
everywher,2
tram,2
cousin,2
vic,2
market,2
websit,2
pm,2
esaplanad,2
fyi,2
sporad,2
bc,2
smth,2
convey,2
mom,2
tire,2
tomorro,2
welp,2
semiobscur,2
cloth,2
lush,2
old,2
consent,2
form,2
surf,2
convinc,2
suppos,2
present,2
noooooooo,2
stress,2
fair,2
wrong,2
kappa,2
doll,2
patrick,2
swayz,2
california,2
nokia,2
lovli,2
em,2
nuther,2
charact,2
gone,2
mall,2
iouri,2
kaila,2
real,2
musta,2
overdid,2
mon,2
step,2
sane,2
constantli,2
law,2
oni,1
nah,1
goe,1
usf,1
gota,1
fear,1
faint,1
housework,1
quick,1
cuppa,1
crave,1
arabian,1
steed,1
mmmmmm,1
yummi,1
realiz,1
accomod,1
cave,1
mallika,1
sherawat,1
lturlgt,1
doubl,1
dresser,1
pour,1
sum,1
becoz,1
lido,1
scare,1
mah,1
applespairsal,1
malarki,1
befor,1
activ,1
staff,1
cultur,1
modul,1
net,1
romant,1
sceneri,1
argu,1
kick,1
correct,1
goodnight,1
dearli,1
luton,1
h,1
hold,1
evo,1
jealou,1
ray,1
bay,1
resend,1
womdarful,1
actor,1
thread,1
dayu,1
clo,1
lvblefrnd,1
jstfrnd,1
cutefrnd,1
lifpartnr,1
belovd,1
swtheart,1
bstfrnd,1
enemi,1
afraid,1
immedi,1
evapor,1
violat,1
privaci,1
steal,1
employ,1
paperwork,1
contact,1
report,1
supervisor,1
prestig,1
agre,1
price,1
mm,1
hmmmkbut,1
field,1
dai,1
wendi,1
goal,1
yesfrom,1
siva,1
hostel,1
respond,1
optimist,1
languag,1
rate,1
transfer,1
differb,1
ja,1
side,1
dri,1
trade,1
lolnic,1
fish,1
nojst,1
rude,1
singl,1
doublefaggot,1
offic,1
stand,1
imma,1
seventeen,1
pound,1
seven,1
hundr,1
ml,1
uncomfort,1
sens,1
wikipediacom,1
torch,1
bold,1
weird,1
